filename,size_bytes,sha256,frontmatter_slug,suggested_slug,effective_slug,order,nav_label,h1,status,qa_score,already_published_by_slug,parser_flags
2026-09-10-personal-loan-for-moving-expenses.md,10596,7a95bc15560308805f53c6cc6aa1890dd0b3ac6931d8503d8b4b1f9eeffbf4dd,personal-loan-for-moving-expenses,,personal-loan-for-moving-expenses,36,Moving Expenses,Personal Loan for Moving Expenses: Build the Relocation Budget Before You Borrow,,,no,
2026-09-10-personal-loan-for-vacation-cost-trip-and-debt-separately.md,8394,9f8d05aff1fc41040c710b84c711a15a621210ddf47f5608fef7c7aab4181c3e,personal-loan-for-vacation,,personal-loan-for-vacation,54,Vacation Loan,Personal Loan for a Vacation: Cost the Trip and the Debt Separately,,,no,
2026-09-10-personal-loan-for-wedding-budget-first.md,9229,9ca27b8b13659c02a52ea7111b822fc15b2f211eebd6ea5535994c22bec4e84e,personal-loan-for-wedding,,personal-loan-for-wedding,53,Wedding Loan,Personal Loan for a Wedding: Build the Budget Before You Borrow,,,no,
2026-09-10-personal-loan-payoff-amount-vs-current-balance.md,10151,ad029ed8889c66e35938cfdc36b1b29a6f942c5d495696fc5775c0b6cecde422,personal-loan-payoff-amount-vs-current-balance,,personal-loan-payoff-amount-vs-current-balance,47,Payoff vs. Balance,Personal Loan Payoff Amount vs. Current Balance: Why They Can Differ,,,no,
2026-09-10-personal-loan-prequalification-vs-preapproval.md,11557,86b0e595cbe1f20662b5d79218b0dd29691252ecde64ddde07aa92adb8daa7af,personal-loan-prequalification-vs-preapproval,,personal-loan-prequalification-vs-preapproval,37,Prequalification vs. Preapproval,Personal Loan Prequalification vs. Preapproval: What Do the Labels Really Mean?,,,no,blockquote
2026-09-10-personal-loan-request-vs-application-vs-approval-v2.md,17182,ae97628c480fade4036c5c6ed0c77be06793c1d70b12ce45dae3e19d99d08952,,personal-loan-request-vs-application-vs-approval,personal-loan-request-vs-application-vs-approval,,,CashPath Article — Ready to Publish: Personal Loan Request vs. Application vs. Approval,Ready to Publish,,no,H3-H6;table;blockquote;inline_code
2026-09-10-personal-loan-request-vs-application-vs-approval.md,14498,93cc29ac47e8323b7ffc5ef3464fc42553bc59add3fbdb4df987e4d47717222e,,personal-loan-request-vs-application-vs-approval,personal-loan-request-vs-application-vs-approval,,,CashPath Article Ready to Publish — Personal Loan Request vs. Application vs. Approval,QA PASS — Ready to Publish,,no,H3-H6;table;blockquote;inline_code
2026-09-10-personal-loan-requirements.md,15852,df3f03e5e0645ca2e662bf1f9b48dc47016db319c88cacfa23bf695b328fee3f,,personal-loan-requirements,personal-loan-requirements,,,CashPath Help — Ready to Publish: Personal Loan Requirements: What Providers May Check Before Approval,Ready to Publish,,no,H3-H6;blockquote;inline_code
2026-09-10-personal-loan-self-employed-income-documentation.md,13401,a36f1ae238a39c73cd1805647a7d9f59969e0ffe8a550f8d2dc137553bc1f5cc,personal-loan-self-employed-income-documentation,,personal-loan-self-employed-income-documentation,30,Self-Employed Income,Personal Loan When You’re Self-Employed: How to Prepare Your Income Documents,,,no,
2026-09-10-personal-loan-vs-401k-loan.md,12874,60dfe3b86e029ef2d5aa2ad72f2d84d0e08df69883a8de4d5521d5701fd11f36,personal-loan-vs-401k-loan,,personal-loan-vs-401k-loan,42,Personal vs. 401(k) Loan,Personal Loan vs. 401(k) Loan: Compare More Than the Interest Rate,,,no,
2026-09-10-personal-loan-vs-auto-loan-buying-a-car.md,10554,863fed69429138b5f60442e29b3a11f4c66a3a8706273fcacc4cd6b026c17cf8,personal-loan-vs-auto-loan-buying-a-car,,personal-loan-vs-auto-loan-buying-a-car,41,Personal vs. Auto Loan,Personal Loan vs. Auto Loan: Which Financing Structure Fits a Car Purchase?,,,no,
2026-09-10-personal-loan-vs-credit-card-cash-advance.md,12079,9aee24f72ed37d693d8406fa530585fc2bf584484da20e9e16f33ea406ccc642,personal-loan-vs-credit-card-cash-advance,,personal-loan-vs-credit-card-cash-advance,48,Loan vs. Cash Advance,Personal Loan vs. Credit Card Cash Advance: Compare the Actual Cost,,,no,
2026-09-10-personal-loan-vs-irs-payment-plan.md,10481,2d39a60c6d6e7b3b9ac8482eda8188ed93a01235ec119bbec97910b00d8cc3f7,personal-loan-vs-irs-payment-plan,,personal-loan-vs-irs-payment-plan,34,Loan vs. IRS Plan,Personal Loan to Pay Taxes vs. an IRS Payment Plan,,,no,
2026-09-10-personal-loan-vs-line-of-credit.md,14926,ae6c69319414305ad013468b4c024ff2ba16dd9be4f0b1681509f29d97b34d9e,personal-loan-vs-line-of-credit,,personal-loan-vs-line-of-credit,25,Loan vs. Credit Line,Personal Loan vs. Personal Line of Credit: Key Differences,,,no,H3-H6;table;blockquote
2026-09-10-personal-loans-with-bad-credit-comparison-checklist.md,12664,080838025d91b6780cc8e052a68bc14aa23a64ac22835e2ac358f32e4cb8c38a,personal-loans-with-bad-credit-comparison-checklist,,personal-loans-with-bad-credit-comparison-checklist,39,Bad Credit Checklist,Personal Loans With Bad Credit: How to Compare Options Without Falling for the Wrong Promise,,,no,
2026-09-10-secured-vs-unsecured-personal-loan.md,10671,84f4a4a68dee6caabe64f4bc543f0bb818cec8c91c3648797df26c7564b12577,secured-vs-unsecured-personal-loan,,secured-vs-unsecured-personal-loan,19,Secured vs. Unsecured,Secured vs. Unsecured Personal Loan: What’s the Difference?,,,no,
2026-09-10-short-vs-long-personal-loan-term.md,12453,12f031249e5ebc063ea8cf6f6cfac6f08ea152df5587dbf880f35aa24a30815d,,,,,,Personal Loan Term: Monthly Payment vs. Total Cost,Ready to Publish,98/100,no,H3-H6;table;blockquote;inline_code
2026-09-10-should-you-use-a-personal-loan-for-debt-consolidation.md,13452,098d49c8d9e790202741384ec63aa7babc2c263ccae2e56d2a3fd387d5b5f5fc,,,,,,Should You Use a Personal Loan for Debt Consolidation?,Ready to Publish,98/100,no,H3-H6;table;blockquote;inline_code
2026-09-10-someone-opened-a-loan-in-my-name.md,11476,8a62e4253bc3625b8f293bd27857827760f11a96ad3df3bca59b7972588112f1,someone-opened-a-loan-in-my-name,,someone-opened-a-loan-in-my-name,50,Loan Identity Theft,Someone Opened a Loan in Your Name? What to Do Next,,,no,
2026-09-10-unexpected-live-check-loan-in-mail.md,10576,750a45d2faf7550979ea8b922368f12a31766cee3d021f5d851e9a360e45e25b,unexpected-live-check-loan-in-mail,,unexpected-live-check-loan-in-mail,49,Live Check Loan,Unexpected Check in the Mail? How to Tell If It Is a Live Check Loan,,,no,
2026-09-10-what-can-you-use-a-personal-loan-for.md,12018,37913cb8a26745bc1ae9aa7a63da7df58554596e0c1ac67a6ea1f58e17b9fab2,what-can-you-use-a-personal-loan-for,,what-can-you-use-a-personal-loan-for,52,Personal Loan Uses,What Can You Use a Personal Loan For? Check the Agreement First,,,no,
2026-09-10-what-does-no-credit-check-personal-loan-mean.md,11511,2719fc110c2b4d26104d869472f4df8d599b52941884c09a736cbef247f7a4c9,what-does-no-credit-check-personal-loan-mean,,what-does-no-credit-check-personal-loan-mean,20,No Credit Check Explained,What Does “No Credit Check” Personal Loan Really Mean?,,,no,
2026-09-10-what-happens-if-you-miss-a-personal-loan-payment.md,11104,1022d6b3795e7bf33fc83209fef148fc58266e25a39ddbc5ac57b8a3ecd24c30,what-happens-if-you-miss-a-personal-loan-payment,,what-happens-if-you-miss-a-personal-loan-payment,21,Missed a Loan Payment,What Happens If You Miss a Personal Loan Payment?,,,no,
2026-09-10-what-happens-to-credit-report-after-paying-off-personal-loan.md,10393,ce5c3709239b2fa8b2fbf8247fb79221f0cf9c65af61ba6cc648ab0a48984b94,what-happens-to-credit-report-after-paying-off-personal-loan,,what-happens-to-credit-report-after-paying-off-personal-loan,45,Credit Report After Payoff,What Happens to Your Credit Report After You Pay Off a Personal Loan?,,,no,
2026-09-10-what-is-a-personal-loan-origination-fee.md,12672,e0b39c29324972f477ae716d78cff56496cff9c2d7f7aa78641b43a759036f56,,what-is-a-personal-loan-origination-fee,what-is-a-personal-loan-origination-fee,,,CashPath Help Ready to Publish — What Is a Personal Loan Origination Fee?,QA PASS — Ready to Publish,,no,H3-H6;blockquote;inline_code
2026-09-11-1717-personal-loan-for-car-lease-buyout.md,20735,5c7da213b9de208692fd83101033703043ce0637314fea758aafddfb13557346,,,,,,Can You Use a Personal Loan for a Car Lease Buyout?,,,no,inline_code
2026-09-11-1717-personal-loan-to-pay-off-car-loan-vs-auto-refinance.md,26382,987516ddaa667a1201da8ed379ec68b9bda75374e8426867550e7bcc22fe982f,,,,,,Personal Loan to Pay Off a Car Loan vs. Auto Refinance,,,no,inline_code
2026-09-11-balance-transfer-card-vs-personal-loan-credit-card-debt.md,13459,ee122d4453171839caad09cdf2d6744c9e374736dc91efc75f6d04b2b59f0e10,balance-transfer-card-vs-personal-loan-credit-card-debt,,balance-transfer-card-vs-personal-loan-credit-card-debt,55,Balance Transfer vs Loan,Balance Transfer Card vs. Personal Loan for Credit Card Debt,,,no,
2026-09-11-buy-now-pay-later-vs-personal-loan.md,20435,35ab10b4d5547ec6241e349baba52a29e1dbbe9b2c1b110790c91877555d092d,buy-now-pay-later-vs-personal-loan,,buy-now-pay-later-vs-personal-loan,72,BNPL vs Personal Loan,"Buy Now, Pay Later vs. Personal Loan: Compare the Actual Purchase Plan",,,no,
2026-09-11-car-title-loan-vs-personal-loan.md,14229,d03cf2db6406283cae92e18ad03bda849d9ca825289a57abe6ecd28c53b627d0,car-title-loan-vs-personal-loan,,car-title-loan-vs-personal-loan,67,Title Loan vs Personal Loan,Car Title Loan vs. Personal Loan: Start With What You Could Lose,,,no,
2026-09-11-credit-builder-loan-vs-personal-loan.md,12863,d04934addb1e79f0ea72109d0a619487e6cc31f7910245d9c822dd4575615a76,credit-builder-loan-vs-personal-loan,,credit-builder-loan-vs-personal-loan,59,Credit-Builder vs Loan,Credit-Builder Loan vs. Personal Loan: Do You Need Cash or Credit History?,,,no,
2026-09-11-credit-card-hardship-program-vs-personal-loan.md,16812,12fa95e158942baedaf3188c5ad6df17527d3df0ff4c7607345ca1326ee3eccd,credit-card-hardship-program-vs-personal-loan,,credit-card-hardship-program-vs-personal-loan,69,Card Hardship vs Loan,Credit Card Hardship Program vs. Personal Loan: Ask Your Card Issuer Before Replacing Debt,,,no,
2026-09-11-debt-collector-calling-personal-loan-validation-rights.md,31152,cf161e48349387df331f0da669e10b30162d047706df75c735a52f2102fb2912,debt-collector-calling-personal-loan-validation-rights,,debt-collector-calling-personal-loan-validation-rights,93,Debt Collector Validation,Debt Collector Calling About a Personal Loan? How to Verify the Debt and Protect Your Rights,,,no,
2026-09-11-debt-management-plan-vs-personal-loan-debt-consolidation.md,13981,3438904acfb5151c56b1ba3d8dc328a12d84dcb6534b81168b1543d068ac182c,debt-management-plan-vs-personal-loan-debt-consolidation,,debt-management-plan-vs-personal-loan-debt-consolidation,65,DMP vs Personal Loan,Debt Management Plan vs. Personal Loan for Debt Consolidation: Two Different Ways to Reorganize Debt,,,no,
2026-09-11-earned-wage-access-vs-personal-loan.md,14464,a40ac69a1b91021cbd8e75ca44dc09704c21c478774c497959d1255079548126,earned-wage-access-vs-personal-loan,,earned-wage-access-vs-personal-loan,66,Earned Wage Access,Earned Wage Access vs. Personal Loan: Are You Moving Payday or Taking on New Debt?,,,no,
2026-09-11-fixed-vs-variable-rate-personal-loan.md,16197,91161e9849dbf9140649c0d663118cea689ce82f65eb32e1b79435a686054007,fixed-vs-variable-rate-personal-loan,,fixed-vs-variable-rate-personal-loan,77,Fixed vs. Variable Rate,"Fixed vs. Variable Rate Personal Loan: Compare the Contract, Not a Rate Forecast",,,no,
2026-09-11-old-personal-loan-time-barred-debt-statute-limitations.md,20858,a9b2423fc90b504b20d70d6532eaa7b1fe4030b5288e0ff7c87b376da0edf32b,old-personal-loan-time-barred-debt-statute-limitations,,old-personal-loan-time-barred-debt-statute-limitations,91,Old Debt & Time Limits,Old Personal Loan Debt: What the Statute of Limitations Can and Cannot Change,,,no,
2026-09-11-pawnshop-loan-vs-personal-loan.md,19711,0a394116e2dbd41626fd81899f8cec0e613e07c05e382d862a8b43f47928f4ef,pawnshop-loan-vs-personal-loan,,pawnshop-loan-vs-personal-loan,86,Pawnshop Loan vs Personal Loan,"Pawnshop Loan vs. Personal Loan: Collateral, Cost, and Redemption Risk",,,no,
2026-09-11-payday-alternative-loan-vs-personal-loan.md,19198,6c89ec342a4164d31cd7d96e93e0c5bc738129d100054ed064c8b76cf1540951,payday-alternative-loan-vs-personal-loan,,payday-alternative-loan-vs-personal-loan,71,PAL vs Personal Loan,Payday Alternative Loan vs. Personal Loan: Compare the Actual Terms,,,no,
2026-09-11-personal-loan-after-bankruptcy.md,17583,b27a164679b99641f355687c0de8cb9642006428baa81e31707ff3e7befa38de,personal-loan-after-bankruptcy,,personal-loan-after-bankruptcy,68,After Bankruptcy,Personal Loan After Bankruptcy: What Changes During a Case and After Discharge,,,no,
2026-09-11-personal-loan-charge-off-vs-collections.md,19528,0d7a27d18c4445c1026c771bdc960c8950c4da907eedf5db9470593be522d4f6,personal-loan-charge-off-vs-collections,,personal-loan-charge-off-vs-collections,85,Personal Loan Charge-Off,What Does a Personal Loan Charge-Off Mean? Charge-Off vs. Collections and Forgiveness,,,no,
2026-09-11-personal-loan-cosigner-vs-co-borrower.md,17941,860b675c24fab86e23ba1fb6c176ad368152e3fc0235b87c1a61795f3c059b4c,personal-loan-cosigner-vs-co-borrower,,personal-loan-cosigner-vs-co-borrower,90,Cosigner vs Co-Borrower,Personal Loan With a Cosigner vs. Co-Borrower: What Changes Before You Sign?,,,no,
2026-09-11-personal-loan-credit-insurance-loan-protection.md,12285,943d58920d765f02a692d5fa4c371df5aeda09289c62c283f0459e33e49764ed,personal-loan-credit-insurance-loan-protection,,personal-loan-credit-insurance-loan-protection,60,Loan Protection,Personal Loan Credit Insurance and Loan Protection: What to Check Before You Agree,,,no,
2026-09-11-personal-loan-credit-report-error-what-to-do.md,13258,a555503544dbe4ceea36cb2f2976da259d3f09ad7ba7bf019398aa58d0e0453a,personal-loan-credit-report-error-what-to-do,,personal-loan-credit-report-error-what-to-do,56,Credit Report Error,Personal Loan Reporting Error on Your Credit Report: What to Do,,,no,
2026-09-11-personal-loan-for-adoption.md,18280,341a852999593e8c64ba4dbdcba3b41da7092aeee8e405e7f0a954dffbb8df7f,personal-loan-for-adoption,,personal-loan-for-adoption,75,Personal Loan for Adoption,Personal Loan for Adoption: Build the Expense Timeline Before You Borrow,,,no,
2026-09-11-personal-loan-for-child-care-daycare.md,21164,361f6d1e04382c51ee8f65481d9dc9572513a6f5794a2530781e007cd726de47,personal-loan-for-child-care-daycare,,personal-loan-for-child-care-daycare,80,Child Care & Daycare,Personal Loan for Child Care or Daycare? Check Assistance Before Adding Another Monthly Payment,,,no,
2026-09-11-personal-loan-for-funeral-expenses-itemize-before-financing.md,13358,4d651f94983ca73abf19bfa73adeaf5daba9d684d578bb1832fd05f9f98eeb02,personal-loan-for-funeral-expenses-itemize-before-financing,,personal-loan-for-funeral-expenses-itemize-before-financing,58,Funeral Expenses,Personal Loan for Funeral Expenses: Itemize the Cost Before You Finance It,,,no,
2026-09-11-personal-loan-for-home-down-payment-mortgage-rules.md,12392,3fa9b0c489ee255e6fb817f898728fbee14c6c30a72fc499017c61fd4a141c91,personal-loan-for-home-down-payment-mortgage-rules,,personal-loan-for-home-down-payment-mortgage-rules,64,Home Down Payment,Can You Use a Personal Loan for a Home Down Payment? Check the Mortgage Rules First,,,no,
2026-09-11-personal-loan-for-immigration-uscis-fees.md,20950,4deec8e04b25ee49ba2ba2618227d1a80ba542c0669677639d3a8a3557ed0632,personal-loan-for-immigration-uscis-fees,,personal-loan-for-immigration-uscis-fees,78,Immigration & USCIS Fees,Personal Loan for Immigration or USCIS Fees? Verify the Filing Cost Before Borrowing,,,no,
2026-09-11-personal-loan-for-ivf-fertility-treatment.md,17949,be5d51ccc459f21a10d2ff54dbcc356971716d32f07e192497e6a79ae261ede2,personal-loan-for-ivf-fertility-treatment,,personal-loan-for-ivf-fertility-treatment,79,IVF & Fertility Treatment,"Personal Loan for IVF or Fertility Treatment: Finance the Verified Gap, Not a Headline Cost",,,no,
2026-09-11-personal-loan-for-legal-fees.md,17020,4b87f1f8342681e79738e1dc0483bd7bf95b3f2c14d8a39f60b5ffea02dc4807,personal-loan-for-legal-fees,,personal-loan-for-legal-fees,70,Legal Fees,Personal Loan for Legal Fees: Price the Legal Need Before You Borrow,,,no,
2026-09-11-personal-loan-for-medical-bills-2026-reporting-update.md,19404,517ec6608c0f78eb701173deac38594ddf5d401cd47549818d6b5a8b71046eb1,personal-loan-for-medical-bills,,personal-loan-for-medical-bills,32,Medical Bills,Personal Loan for Medical Bills: What to Check Before You Borrow,,,no,
2026-09-11-personal-loan-for-rent.md,15392,a2302bfb55ef5a493ab15670015516d34348d61b4eefa388d437da859e0be486,personal-loan-for-rent,,personal-loan-for-rent,74,Personal Loan for Rent,Personal Loan for Rent? Solve the Housing Gap Before Adding a New Payment,,,no,
2026-09-11-personal-loan-for-utility-bills.md,17543,1481c575d65848277f5b90d93f176d65102da4906a400e89274593dc055833f8,personal-loan-for-utility-bills,,personal-loan-for-utility-bills,76,Utility Bills,Personal Loan for Utility Bills? Check Assistance Before Adding Another Monthly Payment,,,no,
2026-09-11-personal-loan-for-vet-bills.md,14819,ca07367765e4b63a3759b8edb8de29ee223de6ea8547bf821f7dcfb5fc3ef5ed,personal-loan-for-vet-bills,,personal-loan-for-vet-bills,81,Vet Bills,Personal Loan for Vet Bills: Price the Care Need Before You Finance It,,,no,
2026-09-11-personal-loan-hardship-payment-assistance.md,20768,052b821a1e48061da24eb2819acd1c632d416f1910fb5cbe55766e43d0f1ae88,personal-loan-hardship-payment-assistance,,personal-loan-hardship-payment-assistance,82,Personal Loan Hardship,Personal Loan Hardship or Payment Assistance: What to Ask Before You Miss a Payment,,,no,
2026-09-11-personal-loan-on-disability-ssi-ssdi.md,20827,cbe5a592292415c9e89be5ee860d852f4ee9a3c7ed0eb9e442a9ed0385494d0c,personal-loan-on-disability-ssi-ssdi,,personal-loan-on-disability-ssi-ssdi,84,Personal Loan on Disability,"Personal Loan on Disability, SSI, or SSDI: What to Know Before You Borrow",,,no,
2026-09-11-personal-loan-prequalification-vs-preapproval.md,16677,05e6d6cd52c4ffce9832934866b453f1bdb74b73ec2a381cebbb84f595c2287e,personal-loan-prequalification-vs-preapproval,,personal-loan-prequalification-vs-preapproval,89,Prequalification vs Preapproval,Personal Loan Prequalification vs. Preapproval: What to Know Before You Apply,,,no,
2026-09-11-personal-loan-to-pay-taxes-vs-irs-payment-plan.md,32118,cf12f6ada57489a08879f24dc2542510627f110b85f8edfdfa089e49ace03bb3,personal-loan-to-pay-taxes-vs-irs-payment-plan,,personal-loan-to-pay-taxes-vs-irs-payment-plan,96,Tax Bill vs. IRS Plan,Personal Loan to Pay a Tax Bill vs. IRS Payment Plan,,,no,
2026-09-11-personal-loan-vs-business-loan-business-use.md,13209,7be2a3bc80c91aa6f43566d1feed488b5e1e711378434982b8eca81648a4a837,personal-loan-vs-business-loan-business-use,,personal-loan-vs-business-loan-business-use,61,Personal vs Business Loan,Personal Loan vs. Business Loan: Can You Use a Personal Loan for Business?,,,no,
